draw,silhouette,k_selected,ortho_silhouette,sep_sil
463,0.1794002801,5,0.1515847892,0.0015952802
464,0.1558817625,4,0.2274696678,0.0035751632
465,0.1683212668,4,0.2197804749,0.0048507494
466,0.2594591975,3,0.3325929344,0.0102457404
467,0.1639653742,5,0.1882581115,0.0057668216
468,0.1962971240,5,0.1963755041,0.0049310508
469,0.2068766057,4,0.2835018933,0.0095495740
470,0.2654828131,3,0.2964421809,0.0070338068
471,0.1384838670,3,0.1497577727,-0.0073985341
472,0.1455630064,3,0.1643114537,0.0132892821
473,0.1701487750,2,0.1966105700,-0.0065018525
474,0.2323215008,5,0.2271634042,-0.0110113509
475,0.1497109383,4,0.1359120011,-0.0073737353
476,0.1452120095,4,0.1517342627,-0.0069237808
477,0.1805543303,5,0.1751333624,0.0117925964
478,0.1900649965,4,0.2581789792,0.0010447179
479,0.1383750439,4,0.1539302468,0.0033072701
480,0.1407841295,5,0.1520562470,-0.0004583515
481,0.1906400919,5,0.1986862868,0.0089453105
482,0.1462763548,3,0.1611852050,-0.0100374110
483,0.1690886319,5,0.1785127372,0.0016946136
484,0.1444432586,5,0.1413806528,-0.0031055515
485,0.1515531242,4,0.1907947063,-0.0012447084
486,0.1381665468,4,0.1556176543,-0.0056464681
487,0.2180425078,4,0.2540587485,-0.0121671343
488,0.2134314775,4,0.2751125395,0.0117732640
489,0.1380241215,4,0.1342159957,-0.0092157833
490,0.2123731673,5,0.1788596660,0.0103056980
491,0.2146284133,4,0.2228391618,0.0012709789
492,0.2272193432,4,0.2654778957,-0.0113021564
493,0.1818816066,4,0.1827973127,0.0023141759
494,0.1604091823,3,0.1812638342,-0.0027797238
495,0.2414515465,5,0.2882721722,0.0005271845
496,0.2438832223,4,0.2977589965,0.0092567988
497,0.1306224912,4,0.1627023965,0.0025013641
498,0.2659308016,4,0.2586170137,-0.0063036550
499,0.1996362656,5,0.2026690245,-0.0000096970
